__________________________________________________________
|  k value  |        SSE        |  Size of each cluster  |
|___________|___________________|________________________|
|     2     |     135.19282     |        0: 1105         |
|           |                   |         1: 894         |
|___________|___________________|________________________|
|     5     |     117.34379     |         0: 435         |
|           |                   |         1: 530         |
|           |                   |         2: 650         |
|           |                   |         3: 239         |
|           |                   |         4: 145         |
|___________|___________________|________________________|
|    10     |     100.09643     |         0: 418         |
|           |                   |         1: 168         |
|           |                   |         2: 293         |
|           |                   |         3: 139         |
|           |                   |         4: 95          |
|           |                   |         5: 492         |
|           |                   |         6: 88          |
|           |                   |         7: 103         |
|           |                   |         8: 200         |
|           |                   |          9: 3          |
|___________|___________________|________________________|
|    20     |     92.71251      |         0: 87          |
|           |                   |         1: 295         |
|           |                   |         2: 486         |
|           |                   |         3: 215         |
|           |                   |         4: 39          |
|           |                   |         5: 102         |
|           |                   |         6: 82          |
|           |                   |         7: 49          |
|           |                   |         8: 86          |
|           |                   |         9: 152         |
|           |                   |         10: 62         |
|           |                   |         11: 81         |
|           |                   |         12: 72         |
|           |                   |         13: 37         |
|           |                   |         14: 30         |
|           |                   |         15: 15         |
|           |                   |         16: 71         |
|           |                   |         17: 35         |
|           |                   |         18: 2          |
|           |                   |         19: 1          |
|___________|___________________|________________________|
|    50     |     74.34728      |         0: 43          |
|           |                   |         1: 87          |
|           |                   |          2: 9          |
|           |                   |         3: 59          |
|           |                   |         4: 120         |
|           |                   |         5: 60          |
|           |                   |         6: 49          |
|           |                   |         7: 158         |
|           |                   |         8: 136         |
|           |                   |         9: 134         |
|           |                   |         10: 49         |
|           |                   |         11: 31         |
|           |                   |         12: 74         |
|           |                   |         13: 37         |
|           |                   |         14: 35         |
|           |                   |         15: 64         |
|           |                   |         16: 10         |
|           |                   |         17: 31         |
|           |                   |         18: 86         |
|           |                   |         19: 72         |
|           |                   |         20: 28         |
|           |                   |         21: 35         |
|           |                   |         22: 20         |
|           |                   |         23: 80         |
|           |                   |         24: 43         |
|           |                   |         25: 49         |
|           |                   |         26: 15         |
|           |                   |         27: 25         |
|           |                   |         28: 45         |
|           |                   |         29: 7          |
|           |                   |         30: 21         |
|           |                   |         31: 15         |
|           |                   |         32: 29         |
|           |                   |         33: 11         |
|           |                   |         34: 59         |
|           |                   |         35: 20         |
|           |                   |         36: 9          |
|           |                   |         37: 32         |
|           |                   |         38: 6          |
|           |                   |         39: 27         |
|           |                   |         40: 12         |
|           |                   |         41: 36         |
|           |                   |         42: 11         |
|           |                   |         43: 3          |
|           |                   |         44: 2          |
|           |                   |         45: 1          |
|           |                   |         46: 5          |
|           |                   |         47: 5          |
|           |                   |         48: 3          |
|           |                   |         49: 1          |
|___________|___________________|________________________|
|    100    |     63.93960      |         0: 116         |
|           |                   |         1: 58          |
|           |                   |         2: 67          |
|           |                   |         3: 58          |
|           |                   |         4: 52          |
|           |                   |         5: 15          |
|           |                   |         6: 92          |
|           |                   |         7: 50          |
|           |                   |         8: 23          |
|           |                   |         9: 113         |
|           |                   |         10: 40         |
|           |                   |         11: 16         |
|           |                   |         12: 48         |
|           |                   |         13: 51         |
|           |                   |         14: 13         |
|           |                   |         15: 26         |
|           |                   |         16: 20         |
|           |                   |         17: 30         |
|           |                   |         18: 11         |
|           |                   |         19: 26         |
|           |                   |         20: 18         |
|           |                   |         21: 9          |
|           |                   |         22: 13         |
|           |                   |         23: 9          |
|           |                   |         24: 60         |
|           |                   |         25: 8          |
|           |                   |         26: 13         |
|           |                   |        27: 141         |
|           |                   |         28: 26         |
|           |                   |         29: 47         |
|           |                   |         30: 6          |
|           |                   |         31: 5          |
|           |                   |         32: 15         |
|           |                   |         33: 8          |
|           |                   |         34: 49         |
|           |                   |         35: 4          |
|           |                   |         36: 26         |
|           |                   |         37: 28         |
|           |                   |         38: 7          |
|           |                   |         39: 11         |
|           |                   |         40: 22         |
|           |                   |         41: 10         |
|           |                   |         42: 5          |
|           |                   |         43: 7          |
|           |                   |         44: 15         |
|           |                   |         45: 41         |
|           |                   |         46: 8          |
|           |                   |         47: 8          |
|           |                   |         48: 21         |
|           |                   |         49: 6          |
|           |                   |         50: 25         |
|           |                   |         51: 17         |
|           |                   |         52: 22         |
|           |                   |         53: 11         |
|           |                   |         54: 6          |
|           |                   |         55: 24         |
